Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,100.0,100.0,0.0,88.02993,0.0,87.23192,0.0,87.43142,0.0,86.13467,0.0,86.38404,0.0,87.48129
2,100.0,100.0,0.0,86.18259,0.0,87.16955,0.0,87.48678,0.0,85.759605,0.0,87.063805,0.0,86.922806
3,100.0,100.0,0.0,86.642044,0.0,87.19606,0.0,87.47307,0.0,85.81102,0.0,86.48815,0.0,87.13451
4,99.972694,99.972694,0.02730748,86.64664,0.0,87.00164,0.0,87.52048,0.0,86.01857,0.0,86.61934,0.0,87.05626
5,100.0,100.0,0.0,86.64664,0.0,87.00164,0.0,87.52048,0.0,86.01857,0.0,86.592026,0.0,87.05626
6,100.0,100.0,0.0,86.64664,0.0,87.00164,0.0,87.52048,0.0,86.01857,0.0,86.592026,0.0,87.05626
7,100.0,100.0,0.0,86.64299,0.0,86.998085,0.0,87.517075,0.0,86.01475,0.0,86.615685,0.0,87.05272
8,100.0,100.0,0.0,86.64299,0.0,86.998085,0.0,87.517075,0.0,86.01475,0.0,86.615685,0.0,87.05272
