Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,99.95905,99.95905,0.04095004,85.58559,0.0,87.91974,0.0,86.19984,0.0,85.99509,0.0,86.97789,0.0,87.18263
2,100.0,100.0,0.0,86.43601,0.0,87.50765,0.0,86.099205,0.0,85.88487,0.0,86.589096,0.0,86.43601
3,100.0,100.0,0.0,86.25891,0.0,87.52057,0.0,86.09435,0.0,85.957214,0.0,86.697754,0.0,86.50576
4,100.0,100.0,0.0,86.25891,0.0,87.52057,0.0,86.09435,0.0,85.957214,0.0,86.697754,0.0,86.50576
5,100.0,100.0,0.0,86.25891,0.0,87.52057,0.0,86.09435,0.0,85.957214,0.0,86.697754,0.0,86.50576
6,100.0,100.0,0.0,86.25891,0.0,87.52057,0.0,86.09435,0.0,85.957214,0.0,86.697754,0.0,86.50576
7,100.0,100.0,0.0,86.25891,0.0,87.52057,0.0,86.09435,0.0,85.957214,0.0,86.697754,0.0,86.50576
8,100.0,100.0,0.0,86.25891,0.0,87.52057,0.0,86.09435,0.0,85.957214,0.0,86.697754,0.0,86.50576
