Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7
1,100.0,100.0,0.0,86.75136,0.0,86.678764,0.0,87.04174,0.0,86.53358,0.0,87.07804,0.0,85.44465
2,100.0,100.0,0.0,86.18114,0.0,86.49238,0.0,87.36383,0.0,86.5235,0.0,87.42609,0.0,85.8699
3,100.0,100.0,0.0,86.16644,0.0,86.65757,0.0,87.25784,0.0,86.575714,0.0,87.06685,0.0,85.97544
4,100.0,100.0,0.0,86.16644,0.0,86.65757,0.0,87.25784,0.0,86.575714,0.0,87.06685,0.0,85.97544
5,100.0,100.0,0.0,86.16644,0.0,86.65757,0.0,87.25784,0.0,86.575714,0.0,87.06685,0.0,85.97544
6,100.0,100.0,0.0,86.16644,0.0,86.65757,0.0,87.25784,0.0,86.575714,0.0,87.06685,0.0,85.97544
7,100.0,100.0,0.0,86.16644,0.0,86.65757,0.0,87.25784,0.0,86.575714,0.0,87.06685,0.0,85.97544
8,100.0,100.0,0.0,86.16644,0.0,86.65757,0.0,87.25784,0.0,86.575714,0.0,87.06685,0.0,85.97544
