Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,100.0,100.0,0.0,86.09603,0.0,86.3048,0.0,87.01462,0.0,86.97286,0.0,86.59708,0.0,86.09603
2,100.0,100.0,0.0,86.258125,0.0,86.41288,0.0,87.40328,0.0,87.00093,0.0,86.47478,0.0,86.629524
3,100.0,100.0,0.0,86.258125,0.0,86.41288,0.0,87.40328,0.0,87.00093,0.0,86.47478,0.0,86.629524
4,100.0,100.0,0.0,86.54697,0.0,86.76795,0.0,87.43094,0.0,86.85083,0.0,86.07735,0.0,86.49171
5,100.0,100.0,0.0,86.54697,0.0,86.76795,0.0,87.43094,0.0,86.85083,0.0,86.07735,0.0,86.49171
6,100.0,100.0,0.0,86.54697,0.0,86.76795,0.0,87.43094,0.0,86.85083,0.0,86.07735,0.0,86.49171
7,100.0,100.0,0.0,86.54697,0.0,86.76795,0.0,87.43094,0.0,86.85083,0.0,86.07735,0.0,86.49171
8,100.0,100.0,0.0,86.54697,0.0,86.76795,0.0,87.43094,0.0,86.85083,0.0,86.07735,0.0,86.49171
