Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition8,Individual Contribution8
1,100.0,100.0,0.0,85.17972,0.0,86.45987,0.0,86.11521,0.0,86.90301,0.0,86.21369,0.0,85.032005
2,100.0,100.0,0.0,86.03122,0.0,86.195564,0.0,86.77075,0.0,86.715965,0.0,86.57902,0.0,85.92166
3,100.0,100.0,0.0,86.03122,0.0,86.195564,0.0,86.77075,0.0,86.715965,0.0,86.57902,0.0,85.92166
4,100.0,100.0,0.0,86.03505,0.0,86.19934,0.0,86.774376,0.0,86.719604,0.0,86.55531,0.0,85.92552
5,100.0,100.0,0.0,86.03505,0.0,86.19934,0.0,86.774376,0.0,86.719604,0.0,86.55531,0.0,85.92552
6,100.0,100.0,0.0,86.03505,0.0,86.19934,0.0,86.774376,0.0,86.719604,0.0,86.55531,0.0,85.92552
7,100.0,100.0,0.0,86.03122,0.0,86.195564,0.0,86.77075,0.0,86.715965,0.0,86.57902,0.0,85.92166
8,100.0,100.0,0.0,86.03122,0.0,86.195564,0.0,86.77075,0.0,86.715965,0.0,86.57902,0.0,85.92166
