Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,100.0,100.0,0.0,86.07595,0.0,87.04966,0.0,87.04966,0.0,86.85492,0.0,86.07595,0.0,87.341774
2,100.0,100.0,0.0,86.553604,0.0,86.7656,0.0,86.644455,0.0,86.402176,0.0,86.038765,0.0,86.614174
3,100.0,100.0,0.0,86.894516,0.0,87.05598,0.0,86.51776,0.0,86.84069,0.0,86.275566,0.0,86.35629
4,100.0,100.0,0.0,86.894516,0.0,87.05598,0.0,86.51776,0.0,86.84069,0.0,86.275566,0.0,86.35629
5,100.0,100.0,0.0,86.894516,0.0,87.05598,0.0,86.51776,0.0,86.84069,0.0,86.275566,0.0,86.35629
6,100.0,100.0,0.0,86.894516,0.0,87.05598,0.0,86.51776,0.0,86.84069,0.0,86.275566,0.0,86.35629
7,100.0,100.0,0.0,86.894516,0.0,87.05598,0.0,86.51776,0.0,86.84069,0.0,86.275566,0.0,86.35629
8,100.0,100.0,0.0,87.07916,0.0,87.59478,0.0,86.563545,0.0,86.83652,0.0,86.290565,0.0,86.290565
