Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7
1,89.90698,89.90698,9.16279,90.093025,0.88372093,90.0,0.046511628,90.65116,0.0,90.18605,0.0,89.90698,0.0,89.53488
2,88.928154,88.928154,9.972516,89.75265,1.0208088,89.595604,0.078523755,89.87044,0.0,89.674126,0.0,90.61641,0.0,89.32077
3,88.99731,88.99731,9.959623,89.7712,0.9757739,89.60296,0.06729475,89.97308,0.0,89.53567,0.0,90.14132,0.0,89.23284
4,88.99731,88.99731,9.959623,89.7712,0.9757739,89.60296,0.06729475,89.97308,0.0,89.53567,0.0,90.14132,0.0,89.23284
5,88.99731,88.99731,9.959623,89.7712,0.9757739,89.60296,0.06729475,89.97308,0.0,89.53567,0.0,90.14132,0.0,89.23284
6,88.99731,88.99731,9.959623,89.7712,0.9757739,89.60296,0.06729475,89.97308,0.0,89.53567,0.0,90.14132,0.0,89.23284
7,88.99731,88.99731,9.959623,89.7712,0.9757739,89.60296,0.06729475,89.97308,0.0,89.53567,0.0,90.14132,0.0,89.23284
8,88.99361,88.99361,9.9629755,89.76775,0.97610235,89.59946,0.067317404,89.9697,0.0,89.53214,0.0,90.138,0.0,89.22922
