Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,89.51219,89.51219,9.085366,89.20731,1.2804878,89.63415,0.12195122,90.2439,0.0,89.69512,0.0,88.59756,0.0,91.03659
2,89.47604,89.47604,8.95656,90.192566,1.5226153,90.640396,0.044782802,89.74474,0.0,89.923874,0.0,88.58039,0.0,89.96865
3,89.76834,89.76834,8.918919,89.38224,1.2355212,90.11583,0.077220075,89.76834,0.0,89.65251,0.0,89.07336,0.0,90.65637
4,89.43973,89.43973,9.032258,89.23599,1.4601018,90.016975,0.067911714,89.37182,0.0,89.43973,0.0,88.55688,0.0,90.050934
5,89.43973,89.43973,9.032258,89.23599,1.4601018,90.016975,0.067911714,89.37182,0.0,89.43973,0.0,88.55688,0.0,90.050934
6,89.43973,89.43973,9.032258,89.23599,1.4601018,90.016975,0.067911714,89.37182,0.0,89.43973,0.0,88.55688,0.0,90.050934
7,89.43973,89.43973,9.032258,89.23599,1.4601018,90.016975,0.067911714,89.37182,0.0,89.43973,0.0,88.55688,0.0,90.050934
8,89.43973,89.43973,9.032258,89.23599,1.4601018,90.016975,0.067911714,89.37182,0.0,89.43973,0.0,88.55688,0.0,90.050934
