Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,90.75067,90.75067,8.378016,89.87936,0.8042895,90.08043,0.067024134,90.08043,0.0,89.61126,0.0,90.5496,0.0,89.87936
2,90.33027,90.33027,8.546136,88.798096,1.0554988,89.81954,0.0680967,89.10453,0.0,89.342865,0.0,89.342865,0.0,89.85359
3,90.11377,90.11377,8.709298,89.093765,1.09847,90.19224,0.07846214,89.28992,0.0,89.40761,0.0,89.52531,0.0,90.23147
4,90.33027,90.33027,8.546136,88.798096,1.0554988,89.81954,0.0680967,89.10453,0.0,89.342865,0.0,89.342865,0.0,89.85359
5,90.33027,90.33027,8.546136,88.798096,1.0554988,89.81954,0.0680967,89.10453,0.0,89.342865,0.0,89.342865,0.0,89.85359
6,90.33027,90.33027,8.546136,88.798096,1.0554988,89.81954,0.0680967,89.10453,0.0,89.342865,0.0,89.342865,0.0,89.85359
7,90.33027,90.33027,8.546136,88.798096,1.0554988,89.81954,0.0680967,89.10453,0.0,89.342865,0.0,89.342865,0.0,89.85359
8,90.33027,90.33027,8.546136,88.798096,1.0554988,89.81954,0.0680967,89.10453,0.0,89.342865,0.0,89.342865,0.0,89.85359
