Iteration No,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,88.323044,88.323044,10.699589,88.734566,0.8744856,90.38065,0.10288066,89.35185,0.0,89.35185,0.0,89.96913,0.0,88.83745
2,89.231544,89.231544,10.060667,90.04044,0.6066734,90.141556,0.10111224,89.53488,0.0,89.98989,0.0,90.29322,0.0,88.068756
3,89.28935,89.28935,9.82659,88.847336,0.816049,90.34342,0.06800408,89.49337,0.0,89.42537,0.0,90.0374,0.0,88.88133
4,89.51676,89.51676,9.5869055,88.97116,0.8183944,90.17927,0.07794232,89.594696,0.0,89.47779,0.0,90.29618,0.0,89.36088
5,89.28935,89.28935,9.82659,88.847336,0.816049,90.34342,0.06800408,89.49337,0.0,89.42537,0.0,90.0374,0.0,88.88133
6,89.28935,89.28935,9.82659,88.847336,0.816049,90.34342,0.06800408,89.49337,0.0,89.42537,0.0,90.0374,0.0,88.88133
7,89.28935,89.28935,9.82659,88.847336,0.816049,90.34342,0.06800408,89.49337,0.0,89.42537,0.0,90.0374,0.0,88.88133
8,89.28935,89.28935,9.82659,88.847336,0.816049,90.34342,0.06800408,89.49337,0.0,89.42537,0.0,90.0374,0.0,88.88133
