Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition8,Individual Contribution8
1,90.7754,90.7754,8.088236,90.10695,1.1363636,90.70856,0.0,90.57487,0.0,90.10695,0.0,88.77006,0.0,91.10963
2,90.01704,90.01704,8.8586035,89.26746,1.1243612,89.98296,0.0,89.3356,0.0,88.756386,0.0,88.51788,0.0,89.09711
3,90.01704,90.01704,8.8586035,89.26746,1.1243612,89.98296,0.0,89.3356,0.0,88.756386,0.0,88.51788,0.0,89.09711
4,90.01704,90.01704,8.8586035,89.26746,1.1243612,89.98296,0.0,89.3356,0.0,88.756386,0.0,88.51788,0.0,89.09711
5,90.01704,90.01704,8.8586035,89.26746,1.1243612,89.98296,0.0,89.3356,0.0,88.756386,0.0,88.51788,0.0,89.09711
6,90.01704,90.01704,8.8586035,89.26746,1.1243612,89.98296,0.0,89.3356,0.0,88.756386,0.0,88.51788,0.0,89.09711
7,90.01704,90.01704,8.8586035,89.26746,1.1243612,89.98296,0.0,89.3356,0.0,88.756386,0.0,88.51788,0.0,89.09711
8,90.01704,90.01704,8.8586035,89.26746,1.1243612,89.98296,0.0,89.3356,0.0,88.756386,0.0,88.51788,0.0,89.09711
