Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,89.1922,89.1922,9.916434,90.250694,0.7799443,90.250694,0.11142062,90.027855,0.0,90.64067,0.0,90.41782,0.0,90.8078
2,88.82748,88.82748,10.264508,89.89341,0.82905644,90.13028,0.07895775,89.10383,0.0,90.36716,0.0,90.446106,0.0,89.97237
3,88.82748,88.82748,10.264508,89.89341,0.82905644,90.13028,0.07895775,89.10383,0.0,90.36716,0.0,90.446106,0.0,89.97237
4,88.77865,88.77865,10.33185,89.66815,0.8210743,89.77078,0.068422854,89.154976,0.0,89.94184,0.0,89.94184,0.0,89.42867
5,88.77865,88.77865,10.33185,89.66815,0.8210743,89.77078,0.068422854,89.154976,0.0,89.94184,0.0,89.94184,0.0,89.42867
6,88.77865,88.77865,10.33185,89.66815,0.8210743,89.77078,0.068422854,89.154976,0.0,89.94184,0.0,89.94184,0.0,89.42867
7,88.77865,88.77865,10.33185,89.66815,0.8210743,89.77078,0.068422854,89.154976,0.0,89.94184,0.0,89.94184,0.0,89.42867
8,88.77865,88.77865,10.33185,89.66815,0.8210743,89.77078,0.068422854,89.154976,0.0,89.94184,0.0,89.94184,0.0,89.42867
