Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,89.76092,89.76092,8.939709,87.94179,1.2474012,88.51351,0.051975053,89.449066,0.0,89.189186,0.0,89.085236,0.0,89.29314
2,89.85277,89.85277,9.072822,88.4998,0.994827,89.176285,0.079586156,89.13649,0.0,89.33546,0.0,88.73856,0.0,89.41505
3,89.31166,89.31166,9.408509,87.82429,1.1760637,89.03494,0.10377032,88.93117,0.0,89.24248,0.0,88.585266,0.0,89.24248
4,89.31166,89.31166,9.408509,87.82429,1.1760637,89.03494,0.10377032,88.93117,0.0,89.24248,0.0,88.585266,0.0,89.24248
5,89.31535,89.31535,9.405256,87.82849,1.175657,89.03873,0.10373445,88.935,0.0,89.24619,0.0,88.58921,0.0,89.21162
6,89.31166,89.31166,9.408509,87.82429,1.1760637,89.03494,0.10377032,88.93117,0.0,89.24248,0.0,88.585266,0.0,89.24248
7,89.31166,89.31166,9.408509,87.82429,1.1760637,89.03494,0.10377032,88.93117,0.0,89.24248,0.0,88.585266,0.0,89.24248
8,89.31166,89.31166,9.408509,87.82429,1.1760637,89.03494,0.10377032,88.93117,0.0,89.24248,0.0,88.585266,0.0,89.24248
