Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4,Cumulative Partition5,Individual Contribution5,Cumulative Partition6,Individual Contribution6,Cumulative Partition7,Individual Contribution7,Cumulative Partition8,Individual Contribution8
1,89.68153,89.68153,9.363057,90.955414,0.82802546,89.108284,0.12738854,89.29936,0.0,90.57325,0.0,90.44586,0.0,91.464966
2,89.86436,89.86436,9.269028,90.35418,0.79125845,89.525246,0.07535795,88.92238,0.0,89.977394,0.0,89.977394,0.0,90.278824
3,89.63474,89.63474,9.509707,90.06252,0.7897335,89.174065,0.06581113,88.417244,0.0,89.56894,0.0,89.63474,0.0,89.996704
4,89.63474,89.63474,9.509707,90.06252,0.7897335,89.174065,0.06581113,88.417244,0.0,89.56894,0.0,89.63474,0.0,89.996704
5,89.63474,89.63474,9.509707,90.06252,0.7897335,89.174065,0.06581113,88.417244,0.0,89.56894,0.0,89.63474,0.0,89.996704
6,89.63474,89.63474,9.509707,90.06252,0.7897335,89.174065,0.06581113,88.417244,0.0,89.56894,0.0,89.63474,0.0,89.996704
7,89.63474,89.63474,9.509707,90.06252,0.7897335,89.174065,0.06581113,88.417244,0.0,89.56894,0.0,89.63474,0.0,89.996704
8,90.02276,90.02276,9.180576,90.25038,0.7207891,89.226105,0.07587253,89.036415,0.0,89.56753,0.0,89.79514,0.0,89.90895
