Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3
1,100.0,100.0,0.0,98.70411,0.0,99.13606
2,100.0,100.0,0.0,98.440544,0.0,99.02534
3,100.0,100.0,0.0,98.440544,0.0,99.02534
4,100.0,100.0,0.0,98.440544,0.0,99.02534
5,100.0,100.0,0.0,98.440544,0.0,99.02534
6,100.0,100.0,0.0,98.440544,0.0,99.02534
7,100.0,100.0,0.0,98.440544,0.0,99.02534
8,100.0,100.0,0.0,98.440544,0.0,99.02534
