Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4
1,100.0,100.0,0.0,97.91667,0.0,98.4375
2,100.0,100.0,0.0,97.48954,0.0,98.32636
3,100.0,100.0,0.0,97.716896,0.0,98.630135
4,100.0,100.0,0.0,97.48954,0.0,98.32636
5,100.0,100.0,0.0,97.48954,0.0,98.32636
6,100.0,100.0,0.0,97.48954,0.0,98.32636
7,100.0,100.0,0.0,97.48954,0.0,98.32636
8,100.0,100.0,0.0,97.48954,0.0,98.32636
