Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition4,Individual Contribution4
1,100.0,100.0,0.0,97.65625,0.0,99.02344
2,100.0,100.0,0.0,97.4082,0.0,99.13606
3,100.0,100.0,0.0,97.65166,0.0,99.02152
4,100.0,100.0,0.0,97.65166,0.0,99.02152
5,100.0,100.0,0.0,97.65166,0.0,99.02152
6,100.0,100.0,0.0,97.65166,0.0,99.02152
7,100.0,100.0,0.0,97.65166,0.0,99.02152
8,100.0,100.0,0.0,97.65166,0.0,99.02152
