Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3
1,98.82353,98.82353,1.1764706,98.43137,0.0,99.60784
2,98.35526,98.35526,1.6447369,98.35526,0.0,99.34211
3,98.35526,98.35526,1.6447369,98.35526,0.0,99.34211
4,98.35526,98.35526,1.6447369,98.35526,0.0,99.34211
5,98.35526,98.35526,1.6447369,98.35526,0.0,99.34211
6,98.35526,98.35526,1.6447369,98.35526,0.0,99.34211
7,98.35526,98.35526,1.6447369,98.35526,0.0,99.34211
8,98.35526,98.35526,1.6447369,98.35526,0.0,99.34211
