Iteration No,Cumulative Partition2,Individual Contribution2,Cumulative Partition3,Individual Contribution3,Cumulative Partition4,Individual Contribution4
1,99.13793,99.13793,0.86206895,98.706894,0.0,97.844826
2,99.346405,99.346405,0.6535948,98.69281,0.0,98.36601
3,99.346405,99.346405,0.6535948,98.69281,0.0,98.36601
4,99.346405,99.346405,0.6535948,98.69281,0.0,98.36601
5,99.346405,99.346405,0.6535948,98.69281,0.0,98.36601
6,99.346405,99.346405,0.6535948,98.69281,0.0,98.36601
7,99.346405,99.346405,0.6535948,98.69281,0.0,98.36601
8,99.346405,99.346405,0.6535948,98.69281,0.0,98.36601
