Iteration No,Cumulative Partition1,Individual Contribution1,Cumulative Partition2,Individual Contribution2,Cumulative Partition4,Individual Contribution4
1,98.722046,98.722046,1.2779553,99.36102,0.0,99.36102
2,98.55596,98.55596,1.4440433,99.27798,0.0,99.27798
3,98.71795,98.71795,1.2820513,99.35898,0.0,99.35898
4,98.71795,98.71795,1.2820513,99.35898,0.0,99.35898
5,98.71795,98.71795,1.2820513,99.35898,0.0,99.35898
6,98.71795,98.71795,1.2820513,99.35898,0.0,99.35898
7,98.71795,98.71795,1.2820513,99.35898,0.0,99.35898
8,98.71795,98.71795,1.2820513,99.35898,0.0,99.35898
